# IAM Handwriting Database - Converted for CRNN Training
# Format: filename,transcription

word_00229.png,Commons
word_00230.png,people
word_00231.png,,
word_00232.png,and
word_00233.png,.
word_00234.png,aired
word_00235.png,with
word_00236.png,-
word_00237.png,Remember
word_00238.png,storm
word_00239.png,,
word_00240.png,at
word_00241.png,of
word_00242.png,was
word_00243.png,point
word_00244.png,of
word_00245.png,not
word_00246.png,every
word_00247.png,a
word_00248.png,sheets
word_00249.png,p.m.
word_00250.png,in
word_00251.png,for
word_00252.png,,
word_00253.png,the
word_00254.png,on
word_00255.png,friends
word_00256.png,policy
word_00257.png,Courtenay
word_00258.png,Eric
word_00259.png,(
word_00260.png,builds
word_00261.png,his
word_00262.png,realism
word_00263.png,More
word_00264.png,.
word_00265.png,,
word_00266.png,I
word_00267.png,support
word_00268.png,always
word_00269.png,egocentric
word_00270.png,desolation
word_00271.png,was
word_00272.png,the
word_00273.png,two
word_00274.png,always
word_00275.png,,
word_00276.png,Shamir
word_00277.png,.
word_00278.png,past
word_00279.png,.
word_00280.png,,
word_00281.png,with
word_00282.png,Europe
word_00283.png,.
word_00284.png,but
word_00285.png,first
word_00286.png,believed
word_00287.png,would
word_00288.png,Boyle
word_00289.png,the
word_00290.png,dishonest
word_00291.png,commit
word_00292.png,given
word_00293.png,.
word_00294.png,in
word_00295.png,It
word_00296.png,played
word_00297.png,be
word_00298.png,stocked
word_00299.png,Order
word_00300.png,multi-racial
word_00301.png,.
word_00302.png,the
word_00303.png,its
word_00304.png,year
word_00305.png,Prince
word_00306.png,worm
word_00307.png,Bruno
word_00308.png,well
word_00309.png,The
word_00310.png,His
word_00311.png,America
word_00312.png,this
word_00313.png,Richards
word_00314.png,melodramatic
word_00315.png,fit
word_00316.png,your
word_00317.png,make
word_00318.png,lessons
word_00319.png,"
word_00320.png,necessity
word_00321.png,,
word_00322.png,are
word_00323.png,or
word_00324.png,?
word_00325.png,pub
word_00326.png,women
word_00327.png,"
word_00328.png,-
word_00329.png,with
word_00330.png,wide
word_00331.png,is
word_00332.png,.
word_00333.png,"
word_00334.png,character
word_00335.png,population
word_00336.png,dominated
word_00337.png,the
word_00338.png,there
word_00339.png,us
word_00340.png,screws
word_00341.png,an
word_00342.png,on
word_00343.png,can
word_00344.png,Kennedy's
word_00345.png,them
word_00346.png,that
word_00347.png,remains
word_00348.png,even
word_00349.png,were
word_00350.png,begin
word_00351.png,would
word_00352.png,written
word_00353.png,in.
word_00354.png,the
word_00355.png,force
word_00356.png,state-
word_00357.png,in
word_00358.png,the
word_00359.png,firm
word_00360.png,rise
word_00361.png,which
word_00362.png,the
word_00363.png,against
word_00364.png,the
word_00365.png,to
word_00366.png,Market
word_00367.png,to
word_00368.png,a
word_00369.png,the
word_00370.png,at
word_00371.png,Charles
word_00372.png,the
word_00373.png,an
word_00374.png,.
word_00375.png,quite
word_00376.png,the
word_00377.png,a
word_00378.png,how
word_00379.png,plane
word_00380.png,.
word_00381.png,out
word_00382.png,editor
word_00383.png,.
word_00384.png,1950
word_00385.png,smug
word_00386.png,just
word_00387.png,seats
word_00388.png,to
word_00389.png,told
word_00390.png,Ontario
word_00391.png,for
word_00392.png,in
word_00393.png,occasion
word_00394.png,is
word_00395.png,the
word_00396.png,to
word_00397.png,everywhere
word_00398.png,should
word_00399.png,.
word_00400.png,cause
word_00401.png,Foot-
word_00402.png,Chancellor
word_00403.png,connexion
word_00404.png,other
word_00405.png,pay
word_00406.png,West
word_00407.png,encouraging
word_00408.png,hooks
word_00409.png,"
word_00410.png,is
word_00411.png,four
word_00412.png,,
word_00413.png,qualities
word_00414.png,sacred
word_00415.png,of
word_00416.png,thread
word_00417.png,was
word_00418.png,the
word_00419.png,interested
word_00420.png,,
word_00421.png,we
word_00422.png,face
word_00423.png,This
word_00424.png,IAIN
word_00425.png,days
word_00426.png,,
word_00427.png,saying
word_00428.png,nothing
word_00429.png,,
word_00430.png,in
word_00431.png,the
word_00432.png,for
word_00433.png,the
word_00434.png,children
word_00435.png,might
word_00436.png,offer
word_00437.png,allow
word_00438.png,fast
word_00439.png,skilful
word_00440.png,this
word_00441.png,,
word_00442.png,without
word_00443.png,establish
word_00444.png,the
word_00445.png,the
word_00446.png,re-book
word_00447.png,a
word_00448.png,Africans
word_00449.png,acid
word_00450.png,with
word_00451.png,Macleod
word_00452.png,.
word_00453.png,I
word_00454.png,grasped
word_00455.png,three
word_00456.png,it
word_00457.png,present
word_00458.png,newly-wed
word_00459.png,Mr.
word_00460.png,to
word_00461.png,are
word_00462.png,disarmament
word_00463.png,the
word_00464.png,and
word_00465.png,upper
word_00466.png,Shinwell
word_00467.png,proper
word_00468.png,-
word_00469.png,able
word_00470.png,for
word_00471.png,elected
word_00472.png,German
word_00473.png,with
word_00474.png,on
word_00475.png,derived
word_00476.png,to
word_00477.png,CHILDREN
word_00478.png,an
word_00479.png,the
word_00480.png,dip
word_00481.png,and
word_00482.png,independent
word_00483.png,of
word_00484.png,seal
word_00485.png,in
word_00486.png,the
word_00487.png,and
word_00488.png,accept
word_00489.png,course
word_00490.png,being
word_00491.png,regular
word_00492.png,would
word_00493.png,.
word_00494.png,restrained
word_00495.png,Not
word_00496.png,.
word_00497.png,,
word_00498.png,,
word_00499.png,Labour
word_00500.png,tively
word_00501.png,.
word_00502.png,automatically
word_00503.png,if
word_00504.png,in
word_00505.png,His
word_00506.png,think
word_00507.png,instant
word_00508.png,poor
word_00509.png,spend
word_00510.png,that
word_00511.png,that
word_00512.png,lace-trimmed
word_00513.png,or
word_00514.png,a
word_00515.png,production
word_00516.png,Rhodesia
word_00517.png,for
word_00518.png,destructive
word_00519.png,enough
word_00520.png,.
word_00521.png,Dennis
word_00522.png,only
word_00523.png,life
word_00524.png,and
word_00525.png,the
word_00526.png,partially
word_00527.png,than
word_00528.png,the
word_00529.png,.
word_00530.png,,
word_00531.png,people
word_00532.png,it
word_00533.png,by
word_00534.png,was
word_00535.png,and
word_00536.png,tear-jerker
word_00537.png,Ministers
word_00538.png,been
word_00539.png,real
word_00540.png,to
word_00541.png,most
word_00542.png,anyone
word_00543.png,numbers
word_00544.png,of
word_00545.png,composer
word_00546.png,Mr.
word_00547.png,director
word_00548.png,and
word_00549.png,week-end
word_00550.png,their
word_00551.png,Power
word_00552.png,been
word_00553.png,panel
word_00554.png,I
word_00555.png,to
word_00556.png,before
word_00557.png,for
word_00558.png,next
word_00559.png,the
word_00560.png,outer
word_00561.png,to
word_00562.png,elements
word_00563.png,unwise
word_00564.png,would
word_00565.png,is
word_00566.png,when
word_00567.png,love
word_00568.png,a
word_00569.png,The
word_00570.png,Mr.
word_00571.png,relationships
word_00572.png,Herculaneum
word_00573.png,,
word_00574.png,tour
word_00575.png,full
word_00576.png,the
word_00577.png,told
word_00578.png,,
word_00579.png,of
word_00580.png,drift
word_00581.png,Mr.
word_00582.png,or
word_00583.png,return
word_00584.png,by
word_00585.png,-
word_00586.png,streets
word_00587.png,some
word_00588.png,and
word_00589.png,unused
word_00590.png,arena
word_00591.png,crowd
word_00592.png,had
word_00593.png,,
word_00594.png,some
word_00595.png,is
word_00596.png,touch
word_00597.png,crochet
word_00598.png,waved
word_00599.png,to
word_00600.png,been
word_00601.png,whose
word_00602.png,comically
word_00603.png,communists'
word_00604.png,peace
word_00605.png,exciting
word_00606.png,characters
word_00607.png,posted
word_00608.png,excuse
word_00609.png,for
word_00610.png,Shamir
word_00611.png,overwhelming
word_00612.png,of
word_00613.png,of
word_00614.png,for
word_00615.png,with
word_00616.png,driven
word_00617.png,correspondent
word_00618.png,lace
word_00619.png,clear
word_00620.png,.
word_00621.png,have
word_00622.png,common
word_00623.png,Roy
word_00624.png,worn
word_00625.png,free
word_00626.png,inquiry
word_00627.png,made
word_00628.png,the
word_00629.png,by
word_00630.png,Restigouche
word_00631.png,Charles
word_00632.png,,
word_00633.png,of
word_00634.png,produced
word_00635.png,screws
word_00636.png,a
word_00637.png,broad
word_00638.png,by
word_00639.png,at
word_00640.png,has
word_00641.png,with
word_00642.png,will
word_00643.png,farewell
word_00644.png,roll
word_00645.png,happy
word_00646.png,rule
word_00647.png,and
word_00648.png,Michael
word_00649.png,swung
word_00650.png,discrimination
word_00651.png,Western
word_00652.png,wrote
word_00653.png,in
word_00654.png,deceived
word_00655.png,round
word_00656.png,an
word_00657.png,the
word_00658.png,Liberal
word_00659.png,union
word_00660.png,week
word_00661.png,the
word_00662.png,dealing
word_00663.png,.
word_00664.png,weight
word_00665.png,which
word_00666.png,there
word_00667.png,opened
word_00668.png,a
word_00669.png,paint
word_00670.png,personal
word_00671.png,the
word_00672.png,were
word_00673.png,policy
word_00674.png,a
word_00675.png,with
word_00676.png,Marilyn
word_00677.png,that
word_00678.png,Eric
word_00679.png,89-year-old
word_00680.png,European
word_00681.png,mixed
word_00682.png,,
word_00683.png,desolation
word_00684.png,The
word_00685.png,The
word_00686.png,with
word_00687.png,Its
word_00688.png,Note
word_00689.png,They
word_00690.png,:
word_00691.png,my
word_00692.png,large
word_00693.png,in
word_00694.png,to
word_00695.png,opening
word_00696.png,your
word_00697.png,Jews
word_00698.png,were
word_00699.png,of
word_00700.png,hours
word_00701.png,was
word_00702.png,Senator
word_00703.png,a
word_00704.png,even
word_00705.png,only
word_00706.png,tsitsits
word_00707.png,a
word_00708.png,planned
word_00709.png,to
word_00710.png,all
word_00711.png,of
word_00712.png,some
word_00713.png,'s
word_00714.png,,
word_00715.png,us
word_00716.png,Jews
word_00717.png,,
word_00718.png,performances
word_00719.png,formed
word_00720.png,original
word_00721.png,can
word_00722.png,figures
word_00723.png,that
word_00724.png,is
word_00725.png,ocean
word_00726.png,pharmaceutical
word_00727.png,so
word_00728.png,It
word_00729.png,long
word_00730.png,another
word_00731.png,rearm
word_00732.png,roll
word_00733.png,black-
word_00734.png,the
word_00735.png,Last
word_00736.png,to
word_00737.png,churchyard
word_00738.png,.
word_00739.png,,
word_00740.png,and
word_00741.png,part
word_00742.png,peers
word_00743.png,;
word_00744.png,the
word_00745.png,Brown
word_00746.png,.
word_00747.png,two
word_00748.png,sidered
word_00749.png,hardly
word_00750.png,.
word_00751.png,Communist
word_00752.png,negotiations
word_00753.png,The
word_00754.png,the
word_00755.png,to
word_00756.png,an
word_00757.png,looked
word_00758.png,Delaney
word_00759.png,he
word_00760.png,is
word_00761.png,that
word_00762.png,13
word_00763.png,against
word_00764.png,try
word_00765.png,is
word_00766.png,there
word_00767.png,which
word_00768.png,crime
word_00769.png,good
word_00770.png,has
word_00771.png,By
word_00772.png,Premier
word_00773.png,,
word_00774.png,'
word_00775.png,Prince
word_00776.png,:
word_00777.png,Israel
word_00778.png,Germany
word_00779.png,be
word_00780.png,should
word_00781.png,the
word_00782.png,by
word_00783.png,attack
word_00784.png,,
word_00785.png,the
word_00786.png,right
word_00787.png,is
word_00788.png,kind
word_00789.png,the
word_00790.png,at
word_00791.png,Now
word_00792.png,saw
word_00793.png,tarmac
word_00794.png,.
word_00795.png,bases
word_00796.png,He
word_00797.png,is
word_00798.png,such
word_00799.png,had
word_00800.png,a
word_00801.png,and
word_00802.png,with
word_00803.png,,
word_00804.png,answered
word_00805.png,cut
word_00806.png,a
word_00807.png,,
word_00808.png,generated
word_00809.png,Out
word_00810.png,meetings
word_00811.png,is
word_00812.png,sound
word_00813.png,Last
word_00814.png,be
word_00815.png,The
word_00816.png,pleasant
word_00817.png,author
word_00818.png,have
word_00819.png,,
word_00820.png,.
word_00821.png,thread
word_00822.png,produce
word_00823.png,no
word_00824.png,switching
word_00825.png,one
word_00826.png,.
word_00827.png,One
word_00828.png,It
word_00829.png,Bobby
word_00830.png,"
word_00831.png,committed
word_00832.png,he
word_00833.png,back
word_00834.png,planned
word_00835.png,also
word_00836.png,.
word_00837.png,Macleod
word_00838.png,been
word_00839.png,survival
word_00840.png,the
word_00841.png,will
word_00842.png,regards
word_00843.png,bow
word_00844.png,on
word_00845.png,,
word_00846.png,In
word_00847.png,.
word_00848.png,thus
word_00849.png,Mr.
word_00850.png,only
word_00851.png,girl
word_00852.png,we
word_00853.png,like
word_00854.png,.
word_00855.png,and
word_00856.png,at
word_00857.png,movement
word_00858.png,Sir
word_00859.png,"
word_00860.png,Only
word_00861.png,single
word_00862.png,,
word_00863.png,used
word_00864.png,Britain
word_00865.png,the
word_00866.png,-
word_00867.png,(
word_00868.png,for
word_00869.png,,
word_00870.png,met
word_00871.png,anyway
word_00872.png,the
word_00873.png,itself
word_00874.png,version
word_00875.png,of
word_00876.png,with
word_00877.png,to
word_00878.png,Mr.
word_00879.png,It
word_00880.png,a
word_00881.png,communique
word_00882.png,who
word_00883.png,What
word_00884.png,Living
word_00885.png,,
word_00886.png,Twang
word_00887.png,a
word_00888.png,or
word_00889.png,also
word_00890.png,.
word_00891.png,Mr.
word_00892.png,.
word_00893.png,never
word_00894.png,headquarters
word_00895.png,to
word_00896.png,:
word_00897.png,concentrated
word_00898.png,sell
word_00899.png,,
word_00900.png,the
word_00901.png,effective
word_00902.png,this
word_00903.png,Third
word_00904.png,"
word_00905.png,made
word_00906.png,A
word_00907.png,these
word_00908.png,little
word_00909.png,Richardson
word_00910.png,head-stones
word_00911.png,with
word_00912.png,is
word_00913.png,not
word_00914.png,(
word_00915.png,basis
word_00916.png,gardens
word_00917.png,from
word_00918.png,moods
word_00919.png,it
word_00920.png,is
word_00921.png,allegorical
word_00922.png,her
word_00923.png,new
word_00924.png,rock
word_00925.png,often
word_00926.png,simply
word_00927.png,Central
word_00928.png,next
word_00929.png,the
word_00930.png,Commonwealth
word_00931.png,beginning
word_00932.png,mother
word_00933.png,point
word_00934.png,subject
word_00935.png,2,000
word_00936.png,are
word_00937.png,.
word_00938.png,the
word_00939.png,in
word_00940.png,of
word_00941.png,anti-Tory
word_00942.png,behind
word_00943.png,being
word_00944.png,policy
word_00945.png,now
word_00946.png,large
word_00947.png,invariably
word_00948.png,"
word_00949.png,retired
word_00950.png,at
word_00951.png,200-fathom
word_00952.png,-
word_00953.png,the
word_00954.png,how
word_00955.png,for
word_00956.png,Thor
word_00957.png,,
word_00958.png,gives
word_00959.png,calm
word_00960.png,convenient
word_00961.png,It
word_00962.png,return
word_00963.png,take
word_00964.png,Kennedy
word_00965.png,now
word_00966.png,doubtful
word_00967.png,afternoon
word_00968.png,.
word_00969.png,rare
word_00970.png,are
word_00971.png,However
word_00972.png,her
word_00973.png,high-speed
word_00974.png,James
word_00975.png,bases
word_00976.png,work
word_00977.png,,
word_00978.png,"
word_00979.png,to
word_00980.png,.
word_00981.png,have
word_00982.png,said
word_00983.png,How
word_00984.png,been
word_00985.png,girl
word_00986.png,,
word_00987.png,rejection
word_00988.png,.
word_00989.png,an
word_00990.png,Scotland
word_00991.png,is
word_00992.png,of
word_00993.png,to
word_00994.png,Only
word_00995.png,island
word_00996.png,all
word_00997.png,Russell
word_00998.png,voluntary
word_00999.png,a
word_01000.png,very
word_01001.png,but
word_01002.png,.
word_01003.png,inspiration
word_01004.png,home
word_01005.png,and
word_01006.png,guests
word_01007.png,peculiar
word_01008.png,this
word_01009.png,They
word_01010.png,to
word_01011.png,to
word_01012.png,of
word_01013.png,resume
word_01014.png,had
word_01015.png,Northern
word_01016.png,possesses
word_01017.png,by
word_01018.png,revitali-
word_01019.png,Countless
word_01020.png,being
word_01021.png,commonest
word_01022.png,to
word_01023.png,.
word_01024.png,and
word_01025.png,protector
word_01026.png,2ole
word_01027.png,On
word_01028.png,believes
word_01029.png,his
word_01030.png,an
word_01031.png,since
word_01032.png,to
word_01033.png,task
word_01034.png,stock
word_01035.png,condemn
word_01036.png,the
word_01037.png,.
word_01038.png,and
word_01039.png,double
word_01040.png,Party
word_01041.png,a
word_01042.png,they
word_01043.png,is
word_01044.png,,
word_01045.png,sails
word_01046.png,politicians
word_01047.png,.
word_01048.png,cash
word_01049.png,a
word_01050.png,.
word_01051.png,of
word_01052.png,when
word_01053.png,whose
word_01054.png,.
word_01055.png,.
word_01056.png,public
word_01057.png,,
word_01058.png,the
word_01059.png,.
word_01060.png,I
word_01061.png,message
word_01062.png,of
word_01063.png,.
word_01064.png,With
word_01065.png,the
word_01066.png,and
word_01067.png,(
word_01068.png,even
word_01069.png,seemed
word_01070.png,our
word_01071.png,,
word_01072.png,little
word_01073.png,they
word_01074.png,,
word_01075.png,,
word_01076.png,Robertson's
word_01077.png,In
word_01078.png,this
word_01079.png,,
word_01080.png,right
word_01081.png,such
word_01082.png,the
word_01083.png,a
word_01084.png,children
word_01085.png,mutually
word_01086.png,rattled
word_01087.png,future
word_01088.png,the
word_01089.png,.
word_01090.png,book
word_01091.png,independent
word_01092.png,of
word_01093.png,German
word_01094.png,,
word_01095.png,because
word_01096.png,man
word_01097.png,to
word_01098.png,order
word_01099.png,ring
word_01100.png,room
word_01101.png,in
word_01102.png,and
word_01103.png,played
word_01104.png,.
word_01105.png,comprehensive
word_01106.png,play
word_01107.png,cannot
word_01108.png,took
word_01109.png,good
word_01110.png,tilt
word_01111.png,includes
word_01112.png,seventeen
word_01113.png,not
word_01114.png,last
word_01115.png,which
word_01116.png,devoted
word_01117.png,story
word_01118.png,charges
word_01119.png,God
word_01120.png,Mortar
word_01121.png,.
word_01122.png,the
word_01123.png,which
word_01124.png,of
word_01125.png,ample
word_01126.png,not
word_01127.png,if
word_01128.png,so
word_01129.png,of
word_01130.png,is
word_01131.png,uncommitted
word_01132.png,becoming
word_01133.png,has
word_01134.png,as
word_01135.png,in-and-out
word_01136.png,playing
word_01137.png,egg-case
word_01138.png,trade
word_01139.png,against
word_01140.png,"
word_01141.png,bear
word_01142.png,was
word_01143.png,and
word_01144.png,morticed
word_01145.png,Mr.
word_01146.png,now
word_01147.png,the
word_01148.png,said
word_01149.png,add
word_01150.png,in
word_01151.png,protector
word_01152.png,daughter
word_01153.png,police
word_01154.png,operation
word_01155.png,neighbour
word_01156.png,,
word_01157.png,Healey
word_01158.png,is
word_01159.png,.
word_01160.png,surroundings
word_01161.png,.
word_01162.png,was
word_01163.png,the
word_01164.png,true
word_01165.png,Joshua
word_01166.png,in
word_01167.png,falling
word_01168.png,to
word_01169.png,a
word_01170.png,-
word_01171.png,week
word_01172.png,be
word_01173.png,and
word_01174.png,would
word_01175.png,turn
word_01176.png,she
word_01177.png,wood
word_01178.png,idea
word_01179.png,.
word_01180.png,this
word_01181.png,four
word_01182.png,by
word_01183.png,the
word_01184.png,second
word_01185.png,accepting
word_01186.png,the
word_01187.png,Daniels
word_01188.png,facilities
word_01189.png,important
word_01190.png,the
word_01191.png,family
word_01192.png,unborn
word_01193.png,that
word_01194.png,has
word_01195.png,whether
word_01196.png,a
word_01197.png,before
word_01198.png,is
word_01199.png,taped
word_01200.png,but
word_01201.png,made
word_01202.png,not
word_01203.png,fittings
word_01204.png,would
word_01205.png,weather
word_01206.png,,
word_01207.png,for
word_01208.png,and
word_01209.png,to
word_01210.png,taxation
word_01211.png,want
word_01212.png,would
word_01213.png,.
word_01214.png,therefore
word_01215.png,a
word_01216.png,this
word_01217.png,the
word_01218.png,central
word_01219.png,triumph
word_01220.png,elected
word_01221.png,even
word_01222.png,will
word_01223.png,.
word_01224.png,of
word_01225.png,finishing
word_01226.png,will
word_01227.png,is
word_01228.png,after
word_01229.png,between
word_01230.png,ended
word_01231.png,is
word_01232.png,secret
word_01233.png,on
word_01234.png,Lancaster
word_01235.png,tent
word_01236.png,further
word_01237.png,chias
word_01238.png,-
word_01239.png,in
word_01240.png,examining
word_01241.png,2
word_01242.png,treaty
word_01243.png,West
word_01244.png,say
word_01245.png,piece
word_01246.png,small
word_01247.png,can
word_01248.png,Such
word_01249.png,command
word_01250.png,wording
word_01251.png,wants
word_01252.png,is
word_01253.png,made
word_01254.png,soul
word_01255.png,.
word_01256.png,as
word_01257.png,from
word_01258.png,Congo
word_01259.png,on
word_01260.png,Secretary
word_01261.png,their
word_01262.png,streets
word_01263.png,Government
word_01264.png,-
word_01265.png,defeat
word_01266.png,put
word_01267.png,,
word_01268.png,arrived
word_01269.png,doubtful
word_01270.png,the
word_01271.png,the
word_01272.png,distinctive
word_01273.png,record
word_01274.png,covering
word_01275.png,to
word_01276.png,partly
word_01277.png,film
word_01278.png,technical
word_01279.png,thing
word_01280.png,era
word_01281.png,the
word_01282.png,Now
word_01283.png,adequate
word_01284.png,conduct
word_01285.png,of
word_01286.png,just
word_01287.png,told
word_01288.png,.
word_01289.png,pleasures
word_01290.png,fill
word_01291.png,get
word_01292.png,is
word_01293.png,Though
word_01294.png,in
word_01295.png,political
word_01296.png,and
word_01297.png,accept
word_01298.png,the
word_01299.png,.
word_01300.png,is
word_01301.png,.
word_01302.png,them
word_01303.png,Why
word_01304.png,could
word_01305.png,#
word_01306.png,the
word_01307.png,1/4
word_01308.png,Schaerf
word_01309.png,The
word_01310.png,simple
word_01311.png,curb
word_01312.png,Fig.
word_01313.png,he
word_01314.png,parties
word_01315.png,father
word_01316.png,reserves
word_01317.png,brief
word_01318.png,to
word_01319.png,,
word_01320.png,though
word_01321.png,as
word_01322.png,Newton
word_01323.png,position
word_01324.png,north
word_01325.png,them
word_01326.png,Board
word_01327.png,vertical
word_01328.png,industrial
word_01329.png,of
word_01330.png,Commissioner
word_01331.png,fears
word_01332.png,touching
word_01333.png,Alan
word_01334.png,weight
word_01335.png,atmosphere
word_01336.png,.
word_01337.png,friends
word_01338.png,the
word_01339.png,.
word_01340.png,world
word_01341.png,unions
word_01342.png,Berlin
word_01343.png,to
word_01344.png,negotiations
word_01345.png,That
word_01346.png,Yesterday
word_01347.png,suitably
word_01348.png,reason
word_01349.png,Byrne
word_01350.png,fight
word_01351.png,room
word_01352.png,with
word_01353.png,ever
word_01354.png,never
word_01355.png,is
word_01356.png,yesterday
word_01357.png,and
word_01358.png,we
word_01359.png,spectacularly
word_01360.png,advanced
word_01361.png,good
word_01362.png,,
word_01363.png,Mr.
word_01364.png,on
word_01365.png,hold
word_01366.png,his
word_01367.png,to
word_01368.png,the
word_01369.png,in
word_01370.png,the
word_01371.png,in
word_01372.png,the
word_01373.png,care
word_01374.png,Britain
word_01375.png,ture
word_01376.png,for
word_01377.png,the
word_01378.png,and
word_01379.png,answer
word_01380.png,the
word_01381.png,Northern
word_01382.png,.
word_01383.png,morning
word_01384.png,It
word_01385.png,,
word_01386.png,the
word_01387.png,then
word_01388.png,the
word_01389.png,.
word_01390.png,representatives
word_01391.png,Rosyth
word_01392.png,Government
word_01393.png,,
word_01394.png,side
word_01395.png,This
word_01396.png,in
word_01397.png,maternal
word_01398.png,90-minute
word_01399.png,,
word_01400.png,had
word_01401.png,say
word_01402.png,heed
word_01403.png,sweet
word_01404.png,their
word_01405.png,Minister
word_01406.png,and
word_01407.png,Prince
word_01408.png,House
word_01409.png,city
word_01410.png,a
word_01411.png,to
word_01412.png,.
word_01413.png,an
word_01414.png,numerous
word_01415.png,Pravda
word_01416.png,discussions
word_01417.png,the
word_01418.png,Newmar
word_01419.png,place
word_01420.png,theme
word_01421.png,in
word_01422.png,the
word_01423.png,any
word_01424.png,.
word_01425.png,military
word_01426.png,public
word_01427.png,above
word_01428.png,to
word_01429.png,of
word_01430.png,rest
word_01431.png,create
word_01432.png,while
word_01433.png,cut
word_01434.png,the
word_01435.png,barbarously
word_01436.png,American
word_01437.png,a
word_01438.png,this
word_01439.png,,
